model_name,dataset_type,learning_type,format_type,precision,recall,f1_score,accuracy,true_positives,false_positives,true_negatives,false_negatives,n_tables,n_claims,result_file
deepseek-r1:32b,test_examples,zero_shot,naturalized,0.9136054421768708,0.7849210987726476,0.8443885570575291,0.8553054662379421,2686,254,3166,736,686,6842,results_with_cells_deepseek-r1:32b_test_examples_686_zero_shot_naturalized.json
phi4:latest,test_examples,zero_shot,json,0.8858476895829979,0.8563424124513619,0.8708452041785375,0.8722904765631113,5502,709,5645,923,1695,12779,results_with_cells_phi4:latest_test_examples_1695_zero_shot_json.json
deepseek-r1:32b,test_examples,zero_shot,json,0.9026325279480707,0.7335873388042204,0.8093775262732417,0.8271767810026385,2503,270,3140,909,684,6822,results_with_cells_deepseek-r1:32b_test_examples_684_zero_shot_json.json
deepseek-r1:32b,test_examples,zero_shot,html,0.8871698113207547,0.6972123368920522,0.7808037196944537,0.8042414355628059,2351,299,3072,1021,676,6743,results_with_cells_deepseek-r1:32b_test_examples_676_zero_shot_html.json
deepseek-r1:32b,test_examples,zero_shot,markdown,0.9118747873426335,0.7820250948351327,0.8419729814640277,0.8531815528312902,2680,259,3166,747,687,6852,results_with_cells_deepseek-r1:32b_test_examples_687_zero_shot_markdown.json
mistral:latest,test_examples,chain_of_thought,json,0.5896116623790273,0.7491050583657588,0.6598574170551138,0.6117067063150481,4813,3350,3004,1612,1695,12779,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_json.json
mistral:latest,test_examples,chain_of_thought,markdown,0.6046124583927722,0.7915953307392997,0.6855833389499225,0.6349479614993349,5086,3326,3028,1339,1695,12779,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_markdown.json
llama3.2:latest,test_examples,chain_of_thought,json,0.5120772946859904,0.4669603524229075,0.48847926267281105,0.5326315789473685,106,101,147,121,47,475,results_with_cells_llama3.2:latest_test_examples_47_chain_of_thought_json.json
mistral:latest,test_examples,chain_of_thought,naturalized,0.612872122453899,0.7914396887159533,0.6908028800434723,0.643790593943188,5085,3212,3142,1340,1695,12779,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_naturalized.json
llama3.2:latest,test_examples,chain_of_thought,markdown,0.6215384615384615,0.5253576072821846,0.569415081042988,0.6035899653979239,1212,738,1579,1095,463,4624,results_with_cells_llama3.2:latest_test_examples_463_chain_of_thought_markdown.json
mistral:latest,test_examples,chain_of_thought,html,0.5951184493898062,0.7741634241245137,0.6729351281877832,0.6216448861413256,4974,3384,2970,1451,1695,12779,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_html.json
llama3.2:latest,test_examples,chain_of_thought,html,0.5806001395673412,0.5395590142671854,0.5593277310924369,0.5772331505965818,832,601,958,710,311,3101,results_with_cells_llama3.2:latest_test_examples_311_chain_of_thought_html.json
llama3.2:latest,test_examples,chain_of_thought,naturalized,0.6216216216216216,0.5421836228287841,0.5791915175612988,0.6076614148903305,874,532,1093,738,325,3237,results_with_cells_llama3.2:latest_test_examples_325_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,html,0.875708777500567,0.801702657807309,0.8370731707317073,0.8438441558441558,3861,548,4261,955,1073,9625,results_with_cells_phi4:latest_test_examples_1073_chain_of_thought_html.json
phi4:latest,test_examples,chain_of_thought,json,0.8550021105951878,0.8420286842652255,0.848465807938004,0.8495059802392095,4051,687,4117,760,1071,9615,results_with_cells_phi4:latest_test_examples_1071_chain_of_thought_json.json
phi4:latest,test_examples,chain_of_thought,naturalized,0.9029062087186261,0.842786683107275,0.8718112244897959,0.8759386894352433,4101,441,4414,765,1105,9721,results_with_cells_phi4:latest_test_examples_1105_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,markdown,0.8995992876224399,0.8349173553719008,0.8660522931847406,0.8707609594706369,4041,451,4381,799,1089,9672,results_with_cells_phi4:latest_test_examples_1089_chain_of_thought_markdown.json
deepseek-r1:32b,test_examples,zero_shot,naturalized,0.9133518347209374,0.7835978835978836,0.8435141677345863,0.8546103982008202,2962,281,3498,818,757,7559,results_with_cells_deepseek-r1:32b_test_examples_757_zero_shot_naturalized.json
deepseek-r1:32b,test_examples,zero_shot,json,0.9031096563011457,0.7328021248339973,0.8090909090909091,0.8270686678177713,2759,296,3468,1006,754,7529,results_with_cells_deepseek-r1:32b_test_examples_754_zero_shot_json.json
deepseek-r1:32b,test_examples,zero_shot,html,0.8835314091680815,0.6975871313672922,0.779625468164794,0.8027885775573134,2602,343,3386,1128,747,7459,results_with_cells_deepseek-r1:32b_test_examples_747_zero_shot_html.json
deepseek-r1:32b,test_examples,zero_shot,markdown,0.9121454993834772,0.781770145310436,0.8419405320813772,0.8532170696261064,2959,285,3499,826,758,7569,results_with_cells_deepseek-r1:32b_test_examples_758_zero_shot_markdown.json
llama3.2:latest,test_examples,chain_of_thought,json,0.559850374064838,0.5056306306306306,0.5313609467455621,0.5595105672969967,449,353,557,439,180,1798,results_with_cells_llama3.2:latest_test_examples_180_chain_of_thought_json.json
llama3.2:latest,test_examples,chain_of_thought,markdown,0.6213047910295617,0.5249784668389319,0.569094304388422,0.6032667096496884,1219,743,1588,1103,466,4653,results_with_cells_llama3.2:latest_test_examples_466_chain_of_thought_markdown.json
llama3.2:latest,test_examples,chain_of_thought,html,0.5931784478497282,0.5424954792043399,0.5667060212514758,0.5862457722660653,1200,823,1400,1012,444,4435,results_with_cells_llama3.2:latest_test_examples_444_chain_of_thought_html.json
llama3.2:latest,test_examples,chain_of_thought,naturalized,0.632065775950668,0.5401844532279315,0.5825242718446602,0.6138006571741511,1230,716,1572,1047,457,4565,results_with_cells_llama3.2:latest_test_examples_457_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,html,0.884083728278041,0.8126701760755128,0.8468741133074813,0.8526037873270211,4477,587,4888,1032,1341,10984,results_with_cells_phi4:latest_test_examples_1341_chain_of_thought_html.json
phi4:latest,test_examples,chain_of_thought,json,0.8551410373066424,0.8535876475930971,0.8543636363636363,0.8540451895043731,4699,796,4675,806,1340,10976,results_with_cells_phi4:latest_test_examples_1340_chain_of_thought_json.json
phi4:latest,test_examples,chain_of_thought,naturalized,0.9101704654280789,0.8540618260244428,0.8812239221140473,0.8845113595384061,4752,469,5059,812,1364,11092,results_with_cells_phi4:latest_test_examples_1364_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,markdown,0.9062620796289138,0.8479204339963834,0.8761210762331838,0.8797278911564625,4689,485,5010,841,1351,11025,results_with_cells_phi4:latest_test_examples_1351_chain_of_thought_markdown.json
deepseek-r1:32b,test_examples,zero_shot,naturalized,0.9136977886977887,0.7839262187088274,0.8438519358956177,0.8549215970483595,2975,281,3513,820,760,7589,results_with_cells_deepseek-r1:32b_test_examples_760_zero_shot_naturalized.json
deepseek-r1:32b,test_examples,zero_shot,json,0.903257328990228,0.7335978835978836,0.8096350364963504,0.8274904087842307,2773,297,3482,1007,757,7559,results_with_cells_deepseek-r1:32b_test_examples_757_zero_shot_json.json
deepseek-r1:32b,test_examples,zero_shot,html,0.8839648173207036,0.6977303070761015,0.7798835994627668,0.8030444652156496,2613,343,3401,1132,750,7489,results_with_cells_deepseek-r1:32b_test_examples_750_zero_shot_html.json
deepseek-r1:32b,test_examples,zero_shot,markdown,0.9118821000921093,0.781578947368421,0.8417174436729489,0.8530069746019213,2970,287,3512,830,761,7599,results_with_cells_deepseek-r1:32b_test_examples_761_zero_shot_markdown.json
llama3.2:latest,test_examples,chain_of_thought,json,0.5623471882640587,0.5066079295154186,0.5330243337195828,0.5614798694232862,460,358,572,448,184,1838,results_with_cells_llama3.2:latest_test_examples_184_chain_of_thought_json.json
llama3.2:latest,test_examples,chain_of_thought,html,0.5927557513460597,0.5425627240143369,0.5665497076023391,0.5859217877094972,1211,832,1411,1021,448,4475,results_with_cells_llama3.2:latest_test_examples_448_chain_of_thought_html.json
llama3.2:latest,test_examples,chain_of_thought,naturalized,0.6327568667344863,0.5415759686547671,0.5836265540699038,0.6144656820156386,1244,722,1585,1053,461,4604,results_with_cells_llama3.2:latest_test_examples_461_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,html,0.8841918993314982,0.8132007233273056,0.8472117558402411,0.8528798185941043,4497,589,4906,1033,1351,11025,results_with_cells_phi4:latest_test_examples_1351_chain_of_thought_html.json
phi4:latest,test_examples,chain_of_thought,json,0.8554347826086957,0.8538878842676311,0.8546606334841629,0.8543310657596372,4722,798,4697,808,1351,11025,results_with_cells_phi4:latest_test_examples_1351_chain_of_thought_json.json
phi4:latest,test_examples,chain_of_thought,naturalized,0.9104961832061069,0.8544054441260746,0.881559497413156,0.8848365073661516,4771,469,5079,813,1370,11132,results_with_cells_phi4:latest_test_examples_1370_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,markdown,0.9063821607074202,0.8483267362360561,0.8763940520446096,0.8799638989169675,4715,487,5035,843,1361,11080,results_with_cells_phi4:latest_test_examples_1361_chain_of_thought_markdown.json
